observation_date,MEFAINUSA646N
1953-01-01,4242
1954-01-01,4167
1955-01-01,4418
1956-01-01,4780
1957-01-01,4966
1958-01-01,5087
1959-01-01,5417
1960-01-01,5620
1961-01-01,5735
1962-01-01,5956
1963-01-01,6249
1964-01-01,6569
1965-01-01,6957
1966-01-01,7532
1967-01-01,7933
1968-01-01,8632
1969-01-01,9433
1970-01-01,9867
1971-01-01,10290
1972-01-01,11120
1973-01-01,12050
1974-01-01,12900
1975-01-01,13720
1976-01-01,14960
1977-01-01,16010
1978-01-01,17640
1979-01-01,19590
1980-01-01,21020
1981-01-01,22390
1982-01-01,23430
1983-01-01,24580
1984-01-01,26430
1985-01-01,27740
1986-01-01,29460
1987-01-01,30970
1988-01-01,32190
1989-01-01,34210
1990-01-01,35350
1991-01-01,35940
1992-01-01,36570
1993-01-01,36960
1994-01-01,38780
1995-01-01,40610
1996-01-01,42300
1997-01-01,44570
1998-01-01,46740
1999-01-01,48830
2000-01-01,50730
2001-01-01,51410
2002-01-01,51680
2003-01-01,52680
2004-01-01,54060
2005-01-01,56190
2006-01-01,58410
2007-01-01,61360
2008-01-01,61520
2009-01-01,60090
2010-01-01,60240
2011-01-01,60970
2012-01-01,62240
2013-01-01,65470
2014-01-01,66630
2015-01-01,70700
2016-01-01,72710
2017-01-01,76140
2018-01-01,78650
2019-01-01,86010
2020-01-01,84350
2021-01-01,88590
2022-01-01,92750
2023-01-01,100800
